testing 1, 2, 3.
279,2020/3/2 13:3:2,75,98559.0
280,2020/3/2 13:3:3,75,98563.8
281,2020/3/2 13:3:4,75,98569.7
282,2020/3/2 13:3:5,75,98568.5
283,2020/3/2 13:3:6,75,98571.3
284,2020/3/2 13:3:7,75,98569.7
285,2020/3/2 13:3:8,75,98573.3
286,2020/3/2 13:3:9,75,98564.2
287,2020/3/2 13:3:10,75,98568.5
288,2020/3/2 13:3:11,75,98561.4
289,2020/3/2 13:3:12,75,98574.1
290,2020/3/2 13:3:13,75,98568.5
291,2020/3/2 13:3:14,75,98567.3
292,2020/3/2 13:3:15,75,98565.7
293,2020/3/2 13:3:17,75,98569.3
294,2020/3/2 13:3:18,75,98570.9
295,2020/3/2 13:3:19,75,98567.3
296,2020/3/2 13:3:20,75,98569.7
297,2020/3/2 13:3:21,75,98569.7
298,2020/3/2 13:3:22,76,98569.3
299,2020/3/2 13:3:23,76,98568.0
300,2020/3/2 13:3:24,75,98566.9
301,2020/3/2 13:3:25,75,98564.5
302,2020/3/2 13:3:26,75,98570.1
303,2020/3/2 13:3:27,75,98558.6
304,2020/3/2 13:3:28,75,98562.2
305,2020/3/2 13:3:29,75,98565.7
306,2020/3/2 13:3:30,75,98564.5
307,2020/3/2 13:3:31,75,98562.5
308,2020/3/2 13:3:32,75,98568.5
309,2020/3/2 13:3:33,75,98584.9
310,2020/3/2 13:3:34,76,98580.8
311,2020/3/2 13:3:35,76,98588.7
312,2020/3/2 13:3:36,76,98580.3
313,2020/3/2 13:3:37,76,98576.7
314,2020/3/2 13:3:38,76,98567.2
315,2020/3/2 13:3:39,76,98569.9
316,2020/3/2 13:3:40,76,98570.0
317,2020/3/2 13:3:41,76,98566.7
318,2020/3/2 13:3:42,76,98563.6
319,2020/3/2 13:3:43,76,98564.4
320,2020/3/2 13:3:44,76,98564.7
321,2020/3/2 13:3:45,76,98567.2
322,2020/3/2 13:3:46,76,98564.0
323,2020/3/2 13:3:47,76,98564.7
324,2020/3/2 13:3:48,76,98571.1
325,2020/3/2 13:3:49,76,98568.3
326,2020/3/2 13:3:50,76,98569.1
327,2020/3/2 13:3:51,76,98569.1
328,2020/3/2 13:3:52,76,98571.5
329,2020/3/2 13:3:53,76,98567.9
330,2020/3/2 13:3:54,76,98572.3
331,2020/3/2 13:3:55,76,98569.5
332,2020/3/2 13:3:57,76,98563.9
333,2020/3/2 13:3:58,76,98569.6
334,2020/3/2 13:3:59,76,98576.4
335,2020/3/2 13:4:0,76,98562.8
336,2020/3/2 13:4:1,76,98557.2
337,2020/3/2 13:4:2,76,98556.8
338,2020/3/2 13:4:3,76,98554.4
339,2020/3/2 13:4:4,76,98546.8
340,2020/3/2 13:4:5,76,98549.3
341,2020/3/2 13:4:6,76,98548.8
342,2020/3/2 13:4:7,76,98546.1
343,2020/3/2 13:4:8,76,98535.7
344,2020/3/2 13:4:9,75,98539.4
345,2020/3/2 13:4:10,76,98544.5
346,2020/3/2 13:4:11,76,98533.7
347,2020/3/2 13:4:12,76,98534.5
348,2020/3/2 13:4:13,75,98534.6
349,2020/3/2 13:4:14,75,98527.4
350,2020/3/2 13:4:15,75,98520.3
351,2020/3/2 13:4:16,75,98520.3
352,2020/3/2 13:4:17,75,98518.7
353,2020/3/2 13:4:18,75,98511.1
354,2020/3/2 13:4:19,76,98516.9
355,2020/3/2 13:4:20,76,98523.2
356,2020/3/2 13:4:21,76,98521.1
357,2020/3/2 13:4:22,76,98519.9
358,2020/3/2 13:4:23,76,98519.9
359,2020/3/2 13:4:24,76,98517.1
360,2020/3/2 13:4:25,76,98517.1
361,2020/3/2 13:4:26,76,98517.4
362,2020/3/2 13:4:27,76,98519.4
363,2020/3/2 13:4:28,76,98522.6
364,2020/3/2 13:4:29,76,98516.2
365,2020/3/2 13:4:30,76,98516.6
366,2020/3/2 13:4:31,76,98522.2
367,2020/3/2 13:4:32,76,98515.0
368,2020/3/2 13:4:33,76,98516.6
369,2020/3/2 13:4:34,76,98513.8
370,2020/3/2 13:4:35,76,98515.0
371,2020/3/2 13:4:36,76,98520.9
372,2020/3/2 13:4:38,76,98516.6
373,2020/3/2 13:4:39,76,98514.9
374,2020/3/2 13:4:40,76,98519.7
375,2020/3/2 13:4:41,76,98513.2
376,2020/3/2 13:4:42,76,98512.9
377,2020/3/2 13:4:43,76,98513.7
378,2020/3/2 13:4:44,76,98516.0
379,2020/3/2 13:4:45,76,98518.1
380,2020/3/2 13:4:46,76,98516.4
381,2020/3/2 13:4:47,76,98520.4
382,2020/3/2 13:4:48,76,98519.2
383,2020/3/2 13:4:49,76,98520.0
384,2020/3/2 13:4:50,76,98522.0
385,2020/3/2 13:4:51,76,98518.8
386,2020/3/2 13:4:52,76,98521.2
387,2020/3/2 13:4:53,76,98520.8
388,2020/3/2 13:4:54,76,98519.6
389,2020/3/2 13:4:55,76,98515.6
390,2020/3/2 13:4:56,76,98514.7
391,2020/3/2 13:4:57,76,98516.8
392,2020/3/2 13:4:58,76,98517.9
393,2020/3/2 13:4:59,76,98523.5
